title,author,text,link
Can this article change your mind about how minds change?,Jesse Richardson,"Whether you know it or not, you have a scale of believability for conspiracy theories in your mind.


You might think you don’t believe in any conspiracy theories at all, but if you were asked whether you’re 100% certain the seven heads of the major tobacco companies weren't colluding when they swore under oath that nicotine isn’t addictive, you might admit that perhaps there is some room for doubt. Not least of all because we have definitive proof of actual conspiracies occurring - such as Watergate, the MK Ultra project, and Cointelpro.


Or perhaps you’re a committed truther for conspiracy theories? Hopefully, though, you’d concede that maybe not all political leaders are lizard people, and that birds are real.

The point is not to exalt pedantry, but rather to recognize something important that might help us avoid a cultural apocalypse:


There’s not much we can know for certain, and that’s a very good thing.


Understanding that not a single one of us has special access to absolute truth provides us with a vast common ground of doubt. This common ground exists in optimistic defiance of the increasingly polarized epistemic crisis we find ourselves in, which is marked by a sense of moral righteousness and intolerance on all sides.


Not only that, but this understanding also gives us a much more useful framework. When we recognize that we don’t know anything for certain, we are forced to think in terms of probabilities rather than true-or-false binaries. Far from non-committal nihilism, probabilistic thinking is characterized by degrees of confidence.


Of course, no one thinks of themselves as thinking in rigid binaries, but we naturally slide into that way of thinking when we feel strongly about something because we can't help but be biased by that feeling. When we experience something as a moral imperative, we are predisposed to various forms of motivated reasoning and biases that serve to reinforce our beliefs and discredit those with whom we disagree. We might be able to control for at least some of our biases using reason and rationality, but it's a process of offsetting rather than a nullification. It also doesn't ultimately matter whether our beliefs are justified or not, our brains simply work this way regardless.


This is not to say that we shouldn’t view anything as a moral imperative, but when we do we also have an imperative to be especially skeptical of our own motivations biasing our thoughts and behavior.


However, something quite paradoxical occurs when we admit our shared uncertainty and try in earnest to think probabilistically: it is far easier to arrive at something closer to consensus. Not the blind, tribalistic consensus of conformity, but rather a tentative consensus of shared doubt tempered by reason.


In such a good-faith crucible of truth-seeking endeavor, we can and ought to still disagree, but the intent and tenor are transformed entirely; and so too the consequences. When we’re willing to demonstrate our own uncertainty and openness to reason, it provides a compelling social cue for reciprocation. Intellectual humility isn’t just good for us, it also helps foster good-faith engagement by others.


I founded The School of Thought with the mission of teaching the next generation how to think critically, so that we might have some hope of not regressing back into the darkness that Carl Sagan warned us against:


“I have a foreboding of an America … with our critical faculties in decline, unable to distinguish between what feels good and what's true, we slide, almost without noticing, back into superstition and darkness.”


Sagan was right about a lot of things, it seems, but he was wrong that we wouldn’t notice it happening. Like a lot of other people, we noticed quite a while ago that things were falling apart and becoming more polarized and irrational, and every subsequent year has only served to affirm our fears in an alarmingly clear way (for a lucid and even-handed analysis of just how things are falling apart, see Jon Ronson’s excellent documentary series Things Fell Apart).


I was wrong too, because I no longer think teaching the next generation how to think independently is going to be effective enough to help us. I still believe that teaching philosophy, critical thinking, and in particular philosophy of science (how and why a scientific way of thinking works) is critically important, it’s just not going to be nearly enough, soon enough.


More importantly, what I’ve come to understand in the past 12 years of working in this space, is that human beings are social and emotional creatures first, and rational creatures very much second. The sequence is important. Any strategy that fails to understand and incorporate this reality is bound to either fail or at least be profoundly sub-optimal.


This might seem like an additional challenge, but I think it actually presents more of an opportunity than would otherwise be the case. We don’t have to teach all 100+ known cognitive biases, or play whack-a-mole with every irrational belief; instead all we really need to do is change people’s mindset. Once we have a truth-seeking, rationally motivated mindset, learning the tools and techniques of critical thinking is a natural consequence.


Changing people’s minds and mindsets might seem unrealistic at this point in history, but there’s an emerging wealth of research showing the vast majority of people are far more willing to update their beliefs and change their minds if the conditions are conducive to it. Even about subjects where we’d expect them to have strong and intractable moral convictions, such as abortion and marriage equality.


The important part to understand is “if the conditions are conducive to it.”


Our colleague David McRaney wrote a book called How Minds Change, which engagingly presents the wildly optimistic science of how people change their minds.

If you’re at all interested in understanding the mess we find ourselves in, and how we might get out of it, I strongly recommend reading it in its entirety, but here are some of the key takeaways:


Listen, and build rapport through common values. When people feel like their point of view has been understood, they’re much more receptive to alternative, and even contradictory, points of view.

Introduce a scale. We tend to think in binaries i.e. true/false, but when you ask people to consider a percentage probability or scale of extremes on either side of an argument, it forces us to think in a more rational and malleable way.

Revisit belief formation. When we’re asked to think about when and how a particular belief was formed, it allows us to re-examine and reconsider its validity.

Start with the heart. We are emotional creatures first, and this imperative drives our reasoning, not the other way around. If you understand the affective drivers of someone’s beliefs and demonstrate genuine sympathy for their perspective, they will be much more likely to listen to a reasoned argument.

Social connection fosters cognitive connection. We are deeply motivated to see things the way people on our side see them. An adversarial approach that makes someone feel like you’re not on their side is likely to be counterproductive. This doesn’t mean you can’t question someone’s ideas, they just need to feel like you’re doing so shoulder-to-shoulder rather than nose-to-nose. For example, rather than poking holes in someone’s argument, instead ask them questions that help them to be able to identify the limitations or qualifiers to their point.

Give it time. Most beliefs change slowly over time, so it’s much better to plant seeds of doubt and give them the fertilizer of kindness than to try and force someone to agree with you now.

Pull, don’t push. Providing ways for people to change their minds on their own terms and via their own reflective insights is far more valuable than any attempt to persuade them will ever be.

Model good faith. None of this works if you don’t commit yourself to the same openness. The effectiveness of these techniques is proportional to the authenticity of your own good-faith engagement.


You can see a shareable presentation format version of these key insights here or hear David on the Clearer Thinking Podcast.


We collaborated with David, Professor Sander van der Linden at the University of Cambridge (who is one of the world’s foremost experts on conspiracy thinking and misinformation), and our friends Prof. Deb Brown and Dr. Peter Ellerton at the University of Queensland’s Critical Thinking Project to create a gamified way to put many of these insights into practice. It’s called The Conspiracy Test.


Take The Conspiracy Test

This test provides a free and interactive way to see whether a particular conspiracy theory you think might be true can stand up to the scrutiny of your own self-directed critical thinking test.


A deep-state alien Illuminati lizard named Captain Zardulu guides you through a series of steps, and you can update your baseline skepticism at each step to increase your critical thinking score.


So far, results show a 30% average increase in skepticism for conspiracy theories, moving most participants from a state of relative ambivalence (53% skepticism) to a mostly skeptical position (83%).


The School of Thought is seeking philanthropic support to run a formal research study to determine the effectiveness of techniques for increasing healthy skepticism so that these techniques and insights can be implemented more broadly. For example on the major social media platforms.


We also recently launched The Critical Thinking Alliance as a way to galvanize the efforts of everyone who is taking an evidence-based approach to increase rationality and fight misinformation.


If you like to join the Alliance, along with Spencer Greenberg and Clearer Thinking, please visit criticalthinkingalliance.org




",https://www.clearerthinking.org/post/can-this-article-change-your-mind-about-how-minds-change
Strategy for Inserting 100 Million Documents into Vector Database,,"I am trying to insert 100 million documents into the Mulvis vector database. I am using openai embeddings for the documents. Since I am new to Mulvis, I am wondering what the best strategy would be to insert all of these documents efficiently and also as quickly as possible. Would batch indexing be a good idea? Has anyone else encountered a similar problem and figured out how to overcome it? I would appreciate any guidance on this issue.",https://github.com/milvus-io/milvus/discussions/32754
,,"Melaka Fray is a fictional character in the Buffy the Vampire Slayer comics by Dark Horse Comics. She debuted in the first issue of Fray (2001), a limited series in a shared universe with Buffy the Vampire Slayer. Melaka is a professional thief who learns that she is a Slayer destined to fight supernatural foes, while her twin brother Harth inherited their prophetic dreams. She learns that Harth, whom she thought was dead, is a vampire intent on bringing demons back to Earth's dimension. After stopping his plan, Melaka remains a thief, but chooses to protect others as well. In Tales of the Slayers, she connects with her heritage by reading journals about past Slayers. Melaka reappears in the canonical comic-book continuation of the television series, meeting the 21st-century Slayer Buffy Summers in Season Eight and helping her defeat Harth in Season Twelve. Academics have analyzed Melaka's character arc in Fray as an example of the hero's journey. A fan film featuring Melaka was released in 2017. ",https://en.wikipedia.org/wiki/Melaka_Fray
"List of Buffy the Vampire Slayer comics
",,"While many comic books based on the television series Buffy the Vampire Slayer were published when the television show was on air they are not all considered canonical and often deal with characters who do not appear in the television series, most notably in the Tales of the Slayers and Tales of the Vampires mini-series.
The first series of books were published by Dark Horse Comics between 1998 and 2004, originally in comic format but then gathered into volumes of trade paperbacks. A small number of Buffy comics have not been included in trade paperbacks, such as the books entitled ""Giles"", ""Jonathan"", and ""Reunion"".
Following the television series finale, Dark Horse began releasing new books titled Season Eight, Nine, and Ten, and various spin-offs, which are written and/or supervised by creator Joss Whedon and officially recognized as canon to the show. In 2005, Dark Horse allowed the rights to produce the comics for Buffy's companion show Angel to lapse, and they were picked up for a short time by IDW Publishing, which released the canon series Angel: After the Fall among other non-canon titles. Dark Horse reacquired the rights in 2010 and went on to release the series Angel & Faith and Angel.
In 2018 it was announced after 20 years at Dark Horse Comics, the license for Buffy and all related material will transfer to Boom! Studios.[1] The first issue of the reboot series was released in January 2019.
",https://en.wikipedia.org/wiki/List_of_Buffy_the_Vampire_Slayer_comics#Buffy_tales_(2002%E2%80%932009)
List of Angel comics,,"Angel comic book refers to one of two series published by Dark Horse Comics during 2000–2002. Both of these series are based on the television series Angel, and were published while the television series was on air. The first volume was an ongoing series halted after seventeen issues. The second volume was a mini-series, spanning four issues. Various related works have come out coinciding with these volumes.
In 2005, IDW Publishing picked up the rights and began publishing various Angel related mini-series and one-shots set during and after the show's final season (these series are considered non-canonical). In 2007, IDW began publishing Angel: After the Fall, which is considered the canonical Angel season 6 (following the success of Buffy the Vampire Slayer Season Eight from Dark Horse) and is overseen by the show's creator Joss Whedon. IDW continued to publish an Angel ongoing title until Whedon transferred the rights to the character back to Dark Horse, where he will feature as part of the Buffy Season Nine franchise, starring most prominently in the ongoing series Angel and Faith.
",https://en.wikipedia.org/wiki/List_of_Angel_comics
Christopher Golden,,"As well as novels, Golden has written comic books and video games, and co-written the online animated series Ghosts of Albion with actress/writer/director Amber Benson. He co-created and co-writes the Dark Horse Comics series Baltimore with Mike Mignola and wrote the introduction to the now collectible, 200-only copies, slipcased edition of Joe Hill's book of short stories titled 20th Century Ghosts. He has also edited numerous horror and dark fantasy fiction anthologies.
Golden worked on the script for Hellboy (2019), a reboot film based on Mignola's comic series Hellboy, though he ultimately was uncredited.[2]
Christopher Golden (born July 15, 1967[citation needed]) is an American writer.",https://en.wikipedia.org/wiki/Christopher_Golden
"Massachusetts
",,"Massachusetts was a site of early English colonization. The Plymouth Colony was founded in 1620 by the Pilgrims of Mayflower. In 1630, the Massachusetts Bay Colony, taking its name from the Indigenous Massachusett people, also established settlements in Boston and Salem. In 1692, the town of Salem and surrounding areas experienced one of America's most infamous cases of mass hysteria, the Salem witch trials.[49] The American Revolution originated in Massachusetts,[50] with Boston becoming known as the ""Cradle of Liberty"" for its political agitation.[51] In 1786, Shays' Rebellion, a populist revolt, influenced the United States Constitutional Convention.[52] Originally dependent on agriculture, fishing, and trade,[53] Massachusetts transformed into a manufacturing hub during the Industrial Revolution.[54] Before the American Civil War, the state was a center for the abolitionist, temperance,[55] and transcendentalist[56] movements.[57] During the 20th century, the state's economy shifted from manufacturing to services;[58] in the 21st century, Massachusetts has become the global leader in biotechnology,[59] and also excels in artificial intelligence,[60] engineering, higher education, finance, and maritime trade.",https://en.wikipedia.org/wiki/Massachusetts
,,"Massachusetts is the most educated U.S. state, ranking first by the percentage of population 25 and over with either a bachelor's degree or advanced degree.[68] Its public school system ranks first in the country,[69] with public school students placing among the top tier in the world in academic performance.[70] Massachusetts is among the wealthiest and most developed states, with the best performing economy.[71] It ranks first in both the American and United Nations Human Development indexes, first in per capita income, and first in median income, both by household and individually.[2][68] Consequently, Massachusetts is typically ranked as one of the most expensive U.S. states to live in.",https://en.wikipedia.org/wiki/Massachusetts
,,"Although the designation ""Commonwealth"" forms part of the state's official name, it has no practical implications in modern times,[80] and Massachusetts has the same position and powers within the United States as other states.[81] John Adams may have chosen the word in 1779 for the second draft of what became the 1780 Massachusetts Constitution; unlike the word ""state"", the word ""commonwealth"" had the connotation of a republic at the time. This was in contrast to the monarchy the former colonies were fighting against during the American Revolutionary War. The name ""State of Massachusetts Bay"" appeared in the first draft, which was ultimately rejected. It was also chosen to include the ""Cape Islands"" in reference to Martha's Vineyard and Nantucket—from 1780 to 1844, they were seen as additional and separate entities confined within the Commonwealth.",https://en.wikipedia.org/wiki/Massachusetts
Church of England,,"The Church of England (C of E) is the established Christian church in England and the Crown Dependencies. It was the initial church of the Anglican tradition. The Church traces its history to the Christian hierarchy recorded as existing in the Roman province of Britain by the 3rd century and to the 6th-century Gregorian mission to Kent led by Augustine of Canterbury. Its members are called Anglicans.
In 1534, the Church of England renounced the authority of the Papacy under the direction of King Henry VIII pursuant to laws passed by the Parliament, beginning the English Reformation. The guiding theologian that shaped Anglican doctrine was the reforming Archbishop Thomas Cranmer, who developed the Church of England's liturgical text, the Book of Common Prayer.[2] Papal authority was briefly restored under Mary I, before her successor Elizabeth I renewed the breach. The Elizabethan Settlement (implemented 1559–1563) concluded the English Reformation, charting a course for the English church to describe itself as a via media between two branches of Protestantism—Lutheranism and Calvinism—and later, a denomination that is both Reformed and Catholic.[3]
",https://en.wikipedia.org/wiki/Church_of_England
