title,author,link,text
"Software engineers should be a little bit cynical
","sean goedecke
",https://www.seangoedecke.com/a-little-bit-cynical/,"I don’t see a hard distinction between engineers being “tools in a political game” and professionals who solve meaningful problems. In fact, I think that in practice almost all meaningful problems are solved by playing political games.
There are very few problems that you can solve entirely on your own. Software engineers encounter more of these problems than average, because the nature of software means that a single engineer can have huge leverage by sitting down and making a single code change. But in order to make changes to large products - for instance, to make it possible for GitHub’s 150M users to use LaTeX in markdown - you need to coordinate with many other people at the company, which means you need to be involved in politics.
It is just a plain fact that software engineers are not the movers and shakers in large tech organizations. They do not set the direction of the company. To the extent that they have political influence, it’s in how they translate the direction of the company into specific technical changes. But that is actually quite a lot of influence!
Large tech companies serve hundreds of millions (or billions) of users. Small changes to these products can have a massive positive or negative effect in the aggregate. As I see it, choosing to engage in the messy, political process of making these changes - instead of washing your hands of it as somehow impure - is an act of idealism.
I think the position of a software engineer in a large tech company is similar to people who go into public service: idealistically hoping that they can do some good, despite knowing that they themselves will never set the broad strokes of government policy.
Of course, big-tech software engineers are paid far better, so many people who go into this kind of work in fact are purely financially-motivated cynics. But I’m not one of them! I think it’s possible, by doing good work, to help steer the giant edifice of a large tech company for the better.
Cynicism as inoculation
Cynical writing is like most medicines: the dose makes the poison. A healthy amount of cynicism can serve as an inoculation from being overly cynical.
If you don’t have an slightly cynical explanation for why engineers write bad code in large tech companies - such as the one I write about here - you risk adopting an overly cynical one. For instance, you might think that big tech engineers are being deliberately demoralized as part of an anti-labor strategy to prevent them from unionizing, which is nuts. Tech companies are simply not set up to engage in these kind of conspiracies.
If you don’t have a slightly cynical explanation for why large tech companies sometimes make inefficient decisions - such as this one - you risk adopting an overly cynical one. For instance, you might think that tech companies are full of incompetent losers, which is simply not true. Tech companies have a normal mix of strong and weak engineers.
"
"Manus Joins Meta for Next Era of Innovation
",,https://manus.im/blog/manus-joins-meta-for-next-era-of-innovation,"The news is out, and it's big: Manus is joining Meta.This announcement is more than just a headline—it's validation of our pioneering work with General AI Agents.Since the launch, Manus has focused on building a general-purpose AI agent designed to help users tackle research, automation, and complex tasks. Through continuous product iteration, we’ve been working hard to make these capabilities more reliable and useful across a growing range of real-world use cases. In just a few months, our agent has processed more than 147 Trillion tokens and powered the creation of over 80 Million virtual computers.We believe in the potential of autonomous agents, and this development reinforces Manus’s role as an execution layer — turning advanced AI capabilities into scalable, reliable systems that can carry out end-to-end work in real-world settings.Our top priority is ensuring that this change won’t be disruptive for our customers. We will continue to sell and operate our product subscription service through our app and website. The company will continue to operate from Singapore.Our solution is driving value for millions of users worldwide today. With time, we hope to expand this subscription to the millions of businesses and billions of people on Meta’s platforms.“Joining Meta allows us to build on a stronger, more sustainable foundation without changing how Manus works or how decisions are made,” said Xiao Hong, CEO of Manus. “We’re excited about what the future holds with Meta and Manus working together and we will continue to iterate the product and serve users that have defined Manus from the beginning.”"
,,,"Manus has crossed $100M in ARR, eight months after launch. This makes us the fastest startup to go from $0 to $100M in the world. Our company's total revenue run rate is now over $125M, including usage-based and other revenue. We've been growing at more than 20% month-over-month since the release of Manus 1.5, and we're continuing to accelerate our product and feature releases.Earlier this year, Manus launched the first General AI Agent, kickstarting a new evolution in AI. Since launch, Manus has processed more than 147T tokens and created more than 80M virtual computers.You quickly wowed us with your creative use cases as we defined this category together. We changed the way humans and AI collaborate, moving from simple question and answers to true task delegation.We shared our learning on Context Engineering for AI Agents, which became an industry standard. We released game-changing technical innovations like Wide Research, and made it possible to build mobile applications from natural language. All thanks to the millions of you around the world who choose to trust Manus for getting things done!Prior to our launch, we raised $75M led by Benchmark. Benchmark General Partner Chetan Puttagunta joined our Board alongside our founders Red and Pan. Today, we're 105 people across Singapore, Tokyo, and San Francisco. And we'll be opening an office in Paris soon. We're hiring across all teams in all four offices. If you want to build the future of AI, we'd love to hear from you."
Get Your Manus App to Rank on Search Engines: Introducing Built-in SEO,,https://manus.im/blog/manus-advanced-seo,"How It Works: Get Your Site Indexed on Search Engines
Our new SEO capability makes your Manus-built websites fully indexable and competitive on search engines. It bridges the gap between modern, dynamic web experiences and the technical requirements of search crawlers. The system works by intelligently generating a prerendered, static HTML version of your site specifically for bots. When a human visitor arrives, they receive the rich, interactive experience you designed. When a search engine bot (like Googlebot) arrives, it receives a perfectly structured, content-rich snapshot that it can easily understand, index, and rank in search results.This dual approach ensures you never have to compromise between user experience and search visibility. Your website performs beautifully for your audience while also communicating effectively with the bots that determine your ranking on search engines.
Key Capabilities
•Automatic Prerendering: Manus automatically generates and serves a lightweight, fully-optimized HTML version of your site to all major search engine bots, ensuring every page can be crawled and indexed on search engines correctly.•Automated Technical SEO: Best practices are built-in from the start. The system automatically generates and maintains critical infrastructure, including canonical URLs to prevent duplicate content, a robots.txt file to guide crawlers, and dynamic sitemaps to help search engines discover all your pages.•SEO Analysis & Scoring: A new SEO dashboard in your project provides a detailed health check for every page. It scores your on-page SEO against proven ranking factors and provides clear, actionable recommendations to improve your search ranking.•AI-Powered Optimization: Go beyond analysis with “Optimize with Manus.” This one-click feature uses AI to automatically implement the dashboard’s recommendations, from writing compelling meta descriptions and titles to generating descriptive alt-text for your images.
Why It Matters
Ultimately, these new SEO features translate technical optimizations into tangible business outcomes. It’s not just about appeasing algorithms; it’s about connecting your work to the world.•Get Discovered on Search Engines: Unlock the power of organic search and attract a steady stream of visitors from search engines who are looking for you.•Drive Growth: Reach new customers, readers, and users who are actively searching on search engines for the solutions and content you provide.•Build with Confidence: Focus your energy on creating a great product and compelling content, knowing that your technical SEO is handled automatically to maximize your search visibility.•Save Time and Resources: Eliminate the need for complex, manual SEO configurations or expensive third-party tools. Your entire optimization workflow lives right within Manus.
How to Use It
Getting your site ready to rank on search engines is simple. Here is a quick guide to optimizing your first page:1.Enable SEO: Open your project Settings, publish your site, and toggle on the new SEO feature. This kicks off the automatic prerendering process. Getting your site ready to rank on search engines is simple. Here is a quick guide to optimizing your first page:1.Enable SEO: Open your project Settings, publish your site, and toggle on the new SEO feature. This kicks off the automatic prerendering process.  Check Your Score: Navigate to the SEO tab. You’ll see a real-time health score (e.g., 69/100) for your page, along with a checklist of metrics like ""H1 heading,"" ""SEO description,"" and ""Keywords."" Identify Issues: Look for items marked with a red warning icon 🔴 or yellow alert 🟡. For example, you might see ""No description found"" or ""No keywords detected."" Fix with AI: Instead of writing meta tags manually, simply click the “Optimize with Manus” button. Our AI will analyze your page content and automatically generate optimized titles, descriptions, and keywords for you.5.Verify & Rank: Watch your score turn green 🟢 as the optimizations are applied. Your site is now technically primed for search engine crawlers."
,,https://manus.im/blog/manus-stripe,"Go Live in an Hour: How Manus Reimagined Payments with Stripe
At Manus, we believe you should focus on your business idea, not the technical busywork required to bring it to life. One of the biggest hurdles has always been payments. You have a clear vision for what you want to sell, but you're forced to stop, leave your workflow, and become a payments expert just to get started, navigating dashboards, configuring webhooks, and juggling API keys.We knew there had to be a better way. That's why we've re-imagined the entire process from the ground up together with Stripe. Instead of you figuring out the technical steps, Manus does it for you. The result is the fastest, safest way to go from idea to income.
Here's how Manus makes it possible:
Build First, Sign Up Later
Traditionally, the first step is always to create a payment provider account. We've flipped that on its head.With Manus, you start building your business immediately. The moment you decide to add payments, Manus instantly creates a temporary, Stripe sandbox for you to start testing. There's no need to sign up for Stripe first. This is your personal, secure testing environment, ready for Manus to build and test your payment infrastructure.
Manus as Your Payments Specialist
Once your sandbox is created, Manus understands your goal and gets to work, handling the complex configuration tasks that used to take hours or days:•Automated Product Setup: Manus takes your business logic and automatically creates the corresponding products and subscription models in Stripe.•Webhook Configuration, Solved: Forget the complexity of setting up webhooks for payment confirmations. Manus configures them for you automatically, ensuring your application works seamlessly.•End-to-End Testing: Manus enables you to run through your entire checkout flow in a complete testing environment. You can test subscriptions and confirm that everything works exactly as expected, all without a single real dollar changing hands.
Testing Made Easy with Stripe's claimable sandbox
The magic behind this ""build first, sign up later"" workflow is a powerful piece of technology from Stripe called the Claimable Sandbox.Think of it as a temporary, fully-featured Stripe account that can be created programmatically—in our case, by Manus—without requiring any user signup.This is a game-changer for a few key reasons:•Zero-Friction Start: It removes the biggest obstacle to getting started: the signup form. You can begin building and testing your business idea immediately.•Ease of testing: The sandbox is a complete replica of Stripe's live environment. You can test every aspect of your payment flow, from creating subscriptions to handling failed payments, without affecting real customers or money. Only when you're satisfied with the website, do you then need to go to Stripe, go through KYC and then accept payments.•Designed for AI Agents: This technology is built for the new era of AI-driven development. It allows an agent like Manus to securely build and configure an entire payment system on your behalf in a controlled environment.Once you are satisfied with the setup, you ""claim"" the sandbox. This seamlessly transfers all the configurations Manus has built—your products, pricing, and webhook settings—to a new, permanent Stripe account that you own. You get a production-ready payment system from day one.
Claim and Go Live
When you're ready to start accepting real money, you simply tell Manus to go live. This is when you'll ""Claim"" your sandbox.This is the only point where you'll be prompted to officially create your Stripe account and complete their standard, secure KYC (Know Your Customer) process. Once approved, your fully configured, battle-tested payment system is instantly live.The entire process is managed through a simple, conversational interface within Manus.This is the power of the Claimable Sandbox workflow, an innovation from Stripe that Manus leverages to act as your agent, turning a complex, multi-day setup into a simple, one-hour process.
Your Vision, Brought to Life
You bring the vision. Manus provides the expertise to build it and the foundation to get paid—with confidence.Start building your business with Manus"
,,https://www.manua.ls/apple/iphone/manual?p=9,"Viewing the User Guide on iPhone 
The iPhone User Guide, optimized for viewing on iPhone, is available at 
help.apple.com/iphone. 
View the guide on iPhone: In Safari, tap , then tap the iPhone User Guide bookmark. Add an icon for the guide to the Home screen: When viewing the guide, tap , then 
tap “Add to Home Screen.” 
The iPhone User Guide is available in many languages. 
View the guide in a diﬀerent language: Tap “Change Language” at the bottom of the 
screen on the main contents page, then choose the language you want. 
What You Need 
To use iPhone, you need: 
 A wireless service plan with a carrier that provides iPhone service in your area  A Mac or a PC with a USB 2.0 port and one of the following operating systems:  Mac OS X version 10.4.11 or later; version 10.5.7 or later is required for syncing 
Notes and for using iPhone as a modem 
 Windows XP Home or Professional with Service Pack 2 or later 
 Windows Vista Home Premium, Business, Enterprise, or Ultimate edition  Display resolution on your computer set to 1024 x 768 or higher 
 iTunes 8.2 or later, available at www.itunes.com/download 
 QuickTime 7.6.2 or later (for playing videos recorded by iPhone 3GS on your 
computer) 
"
,,https://www.manua.ls/apple/iphone/manual?p=9,"Activating iPhone 
Before you can use any of iPhone’s features, you must activate iPhone by signing up 
for a service plan with an iPhone service carrier in your area and registering iPhone 
with the network. 
Your iPhone may have been activated at the time of purchase. If it isn’t activated, 
contact your iPhone retailer or cellular service provider. 
For more information about iPhone, go to www.apple.com/iphone.
"
,,,"Installing the SIM Card 
If your SIM card was not preinstalled, you must install the SIM card before you can use 
iPhone. 
SIM 
card 
SIM tray 
SIM eject tool 
Install the SIM card: 
1 Insert the end of the SIM eject tool into the hole on the SIM tray. 
Press ﬁrmly and push it straight in until the tray pops out. If you don’t have a SIM eject 
tool, you can use the end of a paper clip. 
2 Pull out the SIM tray and place the SIM card in the tray. 
The angled corner of the SIM ensures that the card ﬁts only the correct way in the tray. 
3 With the tray aligned as shown, carefully replace the SIM tray containing the SIM card 
in iPhone. 
Registering iPhone 
Registering iPhone with iTunes enables iTunes to identify your iPhone when it’s 
connected to your computer and help you manage its contents. You can then sync 
information with your computer and media from iTunes, and create backups of 
iPhone’s contents and settings. You can create an iTunes Store account, or specify an 
existing account, to enable purchases with iPhone. iTunes also records iPhone’s serial 
number in the event you need it for service or in case of loss
"
,,https://www.manua.ls/apple/iphone/manual?p=9,"Syncing with iTunes 
You can set iTunes to sync any or all of the following: 
Contacts—names, phone numbers, addresses, email addresses, and more 
 Calendars—appointments and events 
Email account settings 
Webpage bookmarks 
Notes (requires Mac OS X version 10.5.7 on a Mac) 
Ringtones 
Music and audiobooks 
Photos 
Podcasts 
Movies, TV shows, and music videos 
Applications downloaded from the iTunes Store 
You can adjust sync settings whenever iPhone is connected to your computer. 
Ringtones, music, audiobooks, podcasts, video content, and applications are synced 
from your iTunes library. If you don’t already have content in iTunes, the iTunes Store 
(available in some countries) makes it easy to preview and download content to 
iTunes. You can also add music to your iTunes library from your CDs. To learn about 
iTunes and the iTunes Store, open iTunes and choose Help > iTunes Help. 
Contacts, calendars, notes, and webpage bookmarks are synced with applications 
on your computer, as described in the following section. Contacts and calendars are 
synced both ways between your computer and iPhone. New entries or changes you 
make on iPhone are synced to your computer, and vice versa. Notes and webpage 
bookmarks are also synced both ways. Photos can be synced from an application or 
from a folder.
"
,,https://en.wikipedia.org/wiki/ITunes_Store,"iTunes Store is a digital marketplace selling songs, albums, music videos, ringtones and alert tones. It was launched by Apple Inc. on April 28, 2003, for Mac OS X, and on October 16, 2003, for Microsoft Windows. It launched as a mobile application with iOS on June 29, 2007.[1]
It previously sold mobile applications until the launch of the App Store on July 10, 2008, and e-books until the launch of the iBooks Store on March 31, 2010.[2] It also used to facilitate the downloading of podcasts which later became integrated into Apple Podcasts, as well as the provision to buy and rent films and TV shows which has since become integrated into Apple TV.[3]
The iTunes Store opened as part of then-CEO Steve Jobs' push to open a digital marketplace for music. When it launched, it was the only legal digital catalog of music to offer songs from all five major record labels, which played a part in its success and influenced the music downloading business.[4] Music streaming services began to overtake music downloading, with Apple launching Apple Music on June 30, 2015. Steve Jobs saw the opportunity to open a digital marketplace for music due to the rising popularity of easily downloadable tracks.[6][7][8][9] In 2002, Jobs made an agreement with the five major record labels to offer their content through iTunes.[10] The iTunes Music Store (later iTunes Store) was introduced by Jobs at a special Apple music event in April 2003.[11][12] Music could be purchased in the iTunes application, and purchases were playable in iTunes or on the iPod. The store was initially available to Mac computers,[13] and was later expanded to Microsoft Windows in October 2003 when iTunes for Windows was launched.[14]
In April 2008, the iTunes Store was the largest music vendor in the United States,[15] and in February 2010, it was the largest music vendor in the world.[16] The iTunes Store's revenues in the first quarter of 2011 totaled nearly US$1.4 billion.[17] By May 28, 2014, the store had sold 35 billion songs worldwide.[18]
In 2016, it was reported that music streaming services had overtaken digital downloads in sales.[19] It was reported that iTunes-style digital download sales had dropped 24% as streaming continued to increase.[20]
In April 2018, the iTunes app was added to the Microsoft Windows 10 app store.[21] Beginning in the spring of 2019, the iTunes app became available on Samsung Smart TVs.[22]
In October 2019, with the release of macOS Catalina, iTunes was split into separate Music, TV, and Podcasts apps. Apple's storefront for movies and television shows moved inside the TV app. Any music in users' iTunes library would transfer to the Music app, which would still offer access to the iTunes Store.

"
